time,adp,sdadp,asa,sdasa,asp,sdasp,aspp,sdaspp,atp,sdatp,hs,sdhs,hsp,sdhsp,nadp,sdnadp,nadph,sdnadph,phos,sdphos,thr,sdthr,V
8,0.3134653442413562,0.031420705,0.0517608961266224,0.005259212,1.7862184147866038,0.182037321,0.0055229920590794,0.001411752,12.186534655758642,0.470579295,0.1230699379997356,0.010459288,0.0247810581597164,0.004562863,0.3806366665075794,0.035442662,1.619363333492423,0.166557338,0.2831612940225606,0.02744609,2.0086467008682423,0.202269564,1.0
9,0.3546522535102008,0.035391109,0.0520983109928254,0.005182219,1.7626711710085197,0.180130685,0.0054487849864232,0.00139492,12.145347746489804,0.466608891,0.1369963084935127,0.01122418,0.0305841030789205,0.005309627,0.4292819233430833,0.039544929,1.5707180766569189,0.162455071,0.3186193654448572,0.030686562,2.0122013214397985,0.202758367,1.0
10,0.3960454150775757,0.039356135,0.0522158311466869,0.005089881,1.739780622083792,0.178306841,0.0053713653835955,0.001378937,12.103954584922429,0.462643865,0.149626144224559,0.011843365,0.0365658010971777,0.006053249,0.476787663579011,0.043490871,1.5232123364209915,0.158509129,0.3541082485968024,0.03392395,2.0164402360641884,0.203327727,1.0
11,0.4375589265756217,0.04330463,0.0521809275730898,0.004989296,1.7175355595265105,0.176560906,0.0052934271908087,0.001363913,12.06244107342438,0.45869537,0.1609975996074606,0.012330549,0.0426374859197991,0.006781932,0.5231047178421248,0.047283104,1.4768952821578785,0.154716896,0.3896280134650137,0.037158785,2.0213550001823304,0.203973404,1.0
12,0.4791134136295219,0.047227059,0.0520379905373785,0.004884989,1.6959252712016002,0.174888401,0.00521667962355,0.001349872,12.02088658637048,0.454772941,0.1711653738063509,0.012699678,0.0487264072441766,0.007486607,0.5682080137244262,0.050926177,1.4317919862755766,0.151073823,0.4251703267617953,0.04039058,2.026928277586944,0.204690453,1.0
13,0.520636135722848,0.051115333,0.0518164671660545,0.004779823,1.674939483153478,0.173285209,0.0051422018382163,0.001336792,11.979363864277152,0.450884667,0.180192228965926,0.012964233,0.0547730788956376,0.008160368,0.6120878240733615,0.054425664,1.3879121759266415,0.147574336,0.460720854988994,0.043618173,2.033136539980688,0.205473575,1.0
14,0.5620607279318567,0.054962634,0.0515360023490439,0.004675582,1.6545683212232882,0.171747542,0.0050706629348762,0.001324627,11.937939272068142,0.447037366,0.1881439643376481,0.013136872,0.0607289163796055,0.008798027,0.6547442493472225,0.057787606,1.345255750652781,0.144212394,0.4962611486173751,0.04683998,2.0399521327755377,0.206317349,1.0
15,0.6033267753505511,0.058763254,0.0512097328485303,0.004573352,1.6348022825988229,0.170271904,0.0050024605452293,0.001313318,11.896673224649447,0.443236746,0.1950864660580451,0.013229269,0.0665542368482545,0.009395765,0.6961836945735278,0.061018175,1.3038163054264758,0.140981825,0.5317700779570673,0.050054171,2.0473448211011167,0.207216392,1.0
16,0.6443793286104127,0.062512446,0.0508464254682156,0.004473762,1.6156322104114067,0.168855062,0.0049378094132816,0.001302803,11.855620671389584,0.439487554,0.2010840156852779,0.013252065,0.0722166132036115,0.009950856,0.7364165992754153,0.064123465,1.2635834007245883,0.137876535,0.5672249059935197,0.053258786,2.0552829258182053,0.208165452,1.0
17,0.6851684189981474,0.066206302,0.0504518825550668,0.004377151,1.5970492668332652,0.167494023,0.0048767988261245,0.00129302,11.814831581001853,0.435793698,0.2061983659541312,0.013214882,0.0776895416299603,0.010461458,0.7754559673723168,0.067109387,1.2245440326276864,0.134890613,0.6026020785420626,0.056451824,2.0637341442014505,0.209159466,1.0
18,0.7256486033267735,0.069841643,0.0500298781798688,0.00428367,1.579044901896489,0.166186005,0.0048194303906558,0.001283908,11.774351396673229,0.432158357,0.2104882843097248,0.013126368,0.0829513729575238,0.010926449,0.8133164155675332,0.069981597,1.1866835844324708,0.132018403,0.6378777999785942,0.059631285,2.072666132265738,0.210193599,1.0
19,0.7657785526062291,0.073415925,0.0495827908853501,0.004193352,1.5616108165531375,0.164928422,0.0047656432619515,0.001275413,11.734221447393772,0.428584075,0.2140093801401951,0.012994267,0.087984459967094,0.011345294,0.8500135626220099,0.072745471,1.1499864373779936,0.129254529,0.6730284493771836,0.062795218,2.0820469091922718,0.211263253,1.0
20,0.8055206894705539,0.076927161,0.0491120385738414,0.004106156,1.5447389194332766,0.163718858,0.0047153312737968,0.001267482,11.694479310529443,0.425072839,0.2168141018152558,0.012825485,0.0927744785939297,0.011717948,0.8855636458224638,0.075406097,1.1144363541775386,0.126593903,0.7080308796028268,0.065941731,2.0918451303099,0.212364071,1.0
21,0.8448408742771094,0.080373854,0.048618383295389,0.004021996,1.528421277429625,0.162555059,0.0046683547957743,0.001260067,11.655159125722893,0.421626146,0.2189518327724783,0.012626164,0.0973098878839985,0.012044775,0.9199832907720542,0.077968275,1.0800167092279485,0.124031725,0.7428626315973361,0.069069012,2.102030263822735,0.213491938,1.0
22,0.8837081370853225,0.083754935,0.0481021497312243,0.003940764,1.5126500607211484,0.161434913,0.0046245491334105,0.001253126,11.61629186291468,0.418245065,0.2204690426077468,0.012401748,0.1015815001178981,0.012326479,0.9532893857122042,0.08043653,1.0467106142877982,0.12156347,0.7775020878340131,0.072175331,2.112572697688572,0.21464297,1.0
23,0.9220944513521396,0.087069717,0.0475633858242946,0.003862338,1.4974174832008549,0.160356439,0.0045837306555017,0.001246617,11.577905548647864,0.414930283,0.2214094657663561,0.01215705,0.1055821382222127,0.012564052,0.9854990275301418,0.082815127,1.0145009724698597,0.119184873,0.8119285824744239,0.075259047,2.1234437963307813,0.215813503,1.0
24,0.9599745445685854,0.090317844,0.0470019840926731,0.003786593,1.4827157395352857,0.159317773,0.0045457014305803,0.001240506,11.54002545543142,0.411682156,0.2218142908375909,0.011896311,0.1093063623156619,0.012758731,1.0166295168323158,0.085108084,0.9833704831676858,0.116891916,0.8461224808223423,0.078318607,2.1346159217882086,0.217000087,1.0
25,0.9973257408701318,0.093499258,0.0464177756948179,0.003713402,1.4685369402802215,0.158317163,0.0045102528947169,0.00123476,11.50267425912987,0.408500742,0.2217223499798902,0.011623254,0.1127502510479934,0.012911954,1.0466983860769774,0.087319189,0.9533016139230248,0.114680811,0.8800652369274204,0.081352545,2.146062430102359,0.218199468,1.0
26,1.0341278306907868,0.096614159,0.0458106050618258,0.003642645,1.454873046623127,0.157352955,0.0044771689018177,0.001229348,11.46587216930922,0.405385841,0.2211703020993169,0.011341139,0.1159112264091394,0.013025332,1.075723449078044,0.089452021,0.9242765509219584,0.112547979,0.9137394353798284,0.08435948,2.157757650904773,0.219408582,1.0
27,1.0703629626905404,0.099662978,0.0451803900931793,0.003574207,1.4417158064236928,0.156423584,0.0044462283923034,0.001224243,11.429637037309467,0.402337022,0.2201928059765923,0.011052805,0.118787913053648,0.013100617,1.1037228630509608,0.091509957,0.896277136949041,0.110490043,0.947128821244588,0.087338118,2.169676856060584,0.220624544,1.0
28,1.1060155534124754,0.102646344,0.0445271710367273,0.003507978,1.4290566932796382,0.155527571,0.0044172078361405,0.001219421,11.393984446587536,0.399353656,0.2188226811553819,0.010760714,0.121380025029631,0.013139678,1.130715196303803,0.093496196,0.8692848036961995,0.108503804,0.9802183205467028,0.090287245,2.181796221662481,0.221844637,1.0
29,1.1410722103937467,0.105565062,0.0438511499277331,0.003443857,1.4168868503523029,0.154663515,0.0043898835490084,0.00121486,11.358927789606264,0.396434938,0.2170910554249069,0.01046699,0.1236882742329366,0.013144473,1.1567194960290947,0.095413766,0.8432805039709073,0.106586234,1.012994052611801,0.093205729,2.1940927865131123,0.223066304,1.0
30,1.1755216647547744,0.108420089,0.0431527216457267,0.003381749,1.405197040640784,0.153830084,0.0043640339381364,0.001210538,11.324478335245232,0.393579911,0.2150274983797957,0.010173455,0.1257142960168613,0.013117033,1.1817553516495165,0.097265537,0.8182446483504862,0.104734463,1.0454433347997758,0.096092518,2.206544409378697,0.22428714,1.0
31,1.2093547096228243,0.111212512,0.0424324971327863,0.003321566,1.3939776052896846,0.153026013,0.0043394417023046,0.001206438,11.29064529037718,0.390787488,0.2126601409627167,0.009881659,0.1274605882484773,0.013059439,1.2058429499616776,0.099054236,0.7941570500383255,0.102945764,1.0775546796720417,0.098946635,2.2191297266640317,0.225504886,1.0
32,1.2425641411124544,0.113943528,0.041691319018514,0.003263226,1.3832184313510674,0.152250097,0.0043158959858409,0.001202541,11.257435858887549,0.388056472,0.2100157811810554,0.00959291,0.1289304607723918,0.012973805,1.2290031190025583,0.100782454,0.7709968809974442,0.101217546,1.109317784354221,0.101767181,2.2318281116911303,0.22671742,1.0
33,1.275144698988533,0.116614428,0.0409302697586616,0.003206653,1.3729089301956,0.15150119,0.0042931944676054,0.001198834,11.224855301011468,0.385385572,0.2071199763939991,0.009308305,0.1301279927668699,0.012862261,1.2512573581933844,0.102452658,0.7487426418066183,0.099547342,1.1407235117540575,0.104553333,2.244619636417264,0.227922757,1.0
34,1.3070930045778335,0.119226579,0.0401506723758846,0.003151778,1.363038027484576,0.150778197,0.0042711453520676,0.0011953,11.192906995422168,0.382773421,0.2039971227250617,0.009028748,0.1310579958912285,0.012726938,1.2726278529308792,0.104067195,0.7273721470691235,0.097932805,1.1717638633345364,0.107304341,2.257485036171181,0.229119038,1.0
35,1.3384074939689956,0.121781412,0.0393540839617529,0.003098535,1.3535941652808992,0.150080074,0.0042495692202771,0.001191929,11.161592506031004,0.380218588,0.2006705222871761,0.008754977,0.1317259814548486,0.012569952,1.2931374724127165,0.105628306,0.7068625275872864,0.096371694,1.2024319432938682,0.110019531,2.2704056777950474,0.230304533,1.0
36,1.369088345040241,0.124280403,0.0385422822333259,0.003046865,1.3445653165046951,0.149405822,0.0042283006935825,0.001188706,11.13091165495975,0.377719597,0.1971624390234609,0.008487581,0.1321381301085019,0.012393394,1.312809750105458,0.107138128,0.6871902498945449,0.094861872,1.2327219142381551,0.112698303,2.283363531436437,0.231477631,1.0
37,1.3991373973677823,0.126725069,0.0377172456123904,0.00299671,1.3359390115432677,0.148754488,0.0042071898622399,0.001185623,11.100862602632205,0.375274931,0.1934941440710523,0.008227022,0.1323012627844713,0.012199316,1.3316688468821458,0.108598702,0.6683311531178571,0.093401298,1.26262894472107,0.11534013,2.2963411461265832,0.23263684,1.0
38,1.4285580645802054,0.129116949,0.0368811274894324,0.00294802,1.3277023764237323,0.148125158,0.004186103434332,0.001182668,11.071441935419784,0.372883051,0.1896859516485647,0.007973648,0.1322228118058515,0.011989721,1.3497394974585952,0.110011979,0.6502605025414077,0.091988021,1.2921491493400212,0.11794456,2.3093216291980903,0.233780785,1.0
39,1.4573552392177267,0.131457598,0.0360362255273991,0.002900745,1.3198421815697028,0.147516957,0.0041649255673389,0.001179833,11.04264476078226,0.370542402,0.1857572465481286,0.00772771,0.1319107912569936,0.011766552,1.3670469413235034,0.111379824,0.6329530586764998,0.090620176,1.321279522393394,0.120511213,2.3222886295304392,0.234908203,1.0
40,1.4855351906116088,0.133748579,0.0351849470338242,0.002854839,1.312344899811072,0.14692905,0.0041435583547123,0.001177109,11.01446480938838,0.368251421,0.1817265043777088,0.007489373,0.1313737658634007,0.011531685,1.383616839867032,0.112704024,0.6163831601329711,0.089295976,1.3500178663934956,0.123039785,2.335226324559285,0.236017944,1.0
